DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,91.007,1.0,1.0,35.45925,31.198543,29.24335,17.246
10,GAS,96.177,11.0,5.0,34.99725,31.740526,29.365403,20.748
11,PER,95.456,9.0,,35.942054,32.070815,29.059842,20.236
14,ALO,96.231,8.0,7.0,35.319607,31.68107,29.185719,20.319
16,LEC,93.576,5.0,2.0,35.373267,31.27328,29.328087,19.841
18,STR,121.445,15.0,18.0,46.578428,36.625875,38.636875,23.634
20,MAG,96.447,10.0,9.0,35.435285,31.637333,29.318491,19.385
22,TSU,96.955,14.0,13.0,35.972,31.850228,29.08707,19.143
23,ALB,97.827,16.0,15.0,36.226927,32.06825,29.372732,19.589
24,ZHO,96.328,12.0,8.0,35.104214,31.726789,29.356438,20.248
27,HUL,98.321,18.0,,36.185921,31.790179,29.642692,19.691
30,LAW,95.867,17.0,14.0,36.310357,31.70607,28.911614,17.573
31,OCO,,20.0,2.0,,,,
4,NOR,92.821,3.0,10.0,35.898482,31.225456,29.400614,18.898
43,COL,,19.0,1.0,,,,
44,HAM,94.068,6.0,12.0,35.65225,31.941403,29.227543,17.542
55,SAI,96.189,7.0,6.0,35.246571,31.658807,29.256543,21.044
63,RUS,96.043,2.0,4.0,35.507303,31.368403,29.168087,20.914
77,BOT,94.443,13.0,11.0,35.438892,31.740052,29.524403,16.141
81,PIA,94.761,4.0,3.0,35.388285,31.484912,29.107105,20.546
