DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,88.051,17.0,1.0,22.549298,46.992028,20.228536,12.761
10,GAS,88.443,13.0,3.0,22.577582,47.161,20.441,12.013
11,PER,89.382,12.0,11.0,22.977597,47.06555,20.394536,11.069
14,ALO,89.482,9.0,14.0,23.183477,46.781115,20.857594,11.119
16,LEC,88.652,6.0,5.0,22.894477,46.809115,20.440521,11.105
22,TSU,88.801,3.0,8.0,22.921044,47.049,20.373782,11.326
24,ZHO,90.416,19.0,15.0,24.502641,47.573115,20.734376,11.548
27,HUL,88.308,17.0,18.0,25.989464,47.086866,21.233366,9.432
30,LAW,89.13,5.0,9.0,23.124805,46.75926,20.539478,10.82
31,OCO,88.326,4.0,2.0,22.619552,47.214565,20.240797,12.954
4,NOR,88.599,1.0,6.0,22.929358,46.880797,20.448275,12.388
43,COL,90.275,16.0,16.0,23.70231,46.905033,19.402266,11.139
44,HAM,89.13,14.0,10.0,22.924492,46.858478,20.614275,10.563
50,BEA,89.372,15.0,12.0,23.139313,46.989739,20.434101,10.775
55,SAI,90.714,0.0,,23.85325,47.712315,20.951999999999998,10.668
63,RUS,88.508,2.0,4.0,22.963,46.788942,20.375927,12.643
77,BOT,89.533,11.0,13.0,22.895253,47.110942,20.572086,10.207
81,PIA,88.762,8.0,7.0,22.997611,46.692652,20.501898,11.319
